# contact :: CORDEX NAM-22_GFDL-ESM2M_r1i1p1_WRF day of year on which drought ended - Los Angeles wildfires 2025, c.barnes22@imperial.ac.uk 
# dc-doy [doy] DOY after September 1st on which single largest 1-week drop in drought code occurred in coastal southern California at la-fires_dc-doy_NAM-22_GFDL-ESM2M_r1i1p1_WRF.dat
# year dc-doy
1950 17
1951 142
1952 115
1953 145
1954 96
1955 66
1956 87
1957 73
1958 84
1959 92
1960 88
1961 85
1962 51
1963 157
1964 49
1965 70
1966 92
1967 179
1968 82
1969 49
1970 103
1971 106
1972 117
1973 139
1974 129
1975 89
1976 13
1977 93
1978 52
1979 108
1980 95
1981 77
1982 34
1983 116
1984 136
1985 24
1986 109
1987 70
1988 80
1989 74
1990 96
