# contact :: MSWEP GAMBOA dry-season precipitation - Panama drought 2023, c.barnes22@imperial.ac.uk 
# pr [mm] annual mean of January-April precipitation at panama_pr-dryseason_mswep-gamboa.dat
# year pr
1979 32 CO Colombia 0.0
1979 33 PA Panama 257.5625
1979 34 CR "Costa Rica" 0.0
1980 32 CO Colombia 0.0
1980 33 PA Panama 162.0625
1980 34 CR "Costa Rica" 0.0
1981 32 CO Colombia 0.0
1981 33 PA Panama 425.75
1981 34 CR "Costa Rica" 0.0
1982 32 CO Colombia 0.0
1982 33 PA Panama 165.3125
1982 34 CR "Costa Rica" 0.0
1983 32 CO Colombia 0.0
1983 33 PA Panama 136.0625
1983 34 CR "Costa Rica" 0.0
1984 32 CO Colombia 0.0
1984 33 PA Panama 299.9375
1984 34 CR "Costa Rica" 0.0
1985 32 CO Colombia 0.0
1985 33 PA Panama 206.1875
1985 34 CR "Costa Rica" 0.0
1986 32 CO Colombia 0.0
1986 33 PA Panama 264.1875
1986 34 CR "Costa Rica" 0.0
1987 32 CO Colombia 0.0
1987 33 PA Panama 349.6875
1987 34 CR "Costa Rica" 0.0
1988 32 CO Colombia 0.0
1988 33 PA Panama 88.5625
1988 34 CR "Costa Rica" 0.0
1989 32 CO Colombia 0.0
1989 33 PA Panama 107.4375
1989 34 CR "Costa Rica" 0.0
1990 32 CO Colombia 0.0
1990 33 PA Panama 147.5
1990 34 CR "Costa Rica" 0.0
1991 32 CO Colombia 0.0
1991 33 PA Panama 189.625
1991 34 CR "Costa Rica" 0.0
1992 32 CO Colombia 0.0
1992 33 PA Panama 145.9375
1992 34 CR "Costa Rica" 0.0
1993 32 CO Colombia 0.0
1993 33 PA Panama 328.5625
1993 34 CR "Costa Rica" 0.0
1994 32 CO Colombia 0.0
1994 33 PA Panama 105.625
1994 34 CR "Costa Rica" 0.0
1995 32 CO Colombia 0.0
1995 33 PA Panama 175.9375
1995 34 CR "Costa Rica" 0.0
1996 32 CO Colombia 0.0
1996 33 PA Panama 464.9375
1996 34 CR "Costa Rica" 0.0
1997 32 CO Colombia 0.0
1997 33 PA Panama 137.5625
1997 34 CR "Costa Rica" 0.0
1998 32 CO Colombia 0.0
1998 33 PA Panama 118.8125
1998 34 CR "Costa Rica" 0.0
1999 32 CO Colombia 0.0
1999 33 PA Panama 270.25
1999 34 CR "Costa Rica" 0.0
2000 32 CO Colombia 0.0
2000 33 PA Panama 193.8125
2000 34 CR "Costa Rica" 0.0
2001 32 CO Colombia 0.0
2001 33 PA Panama 91.75
2001 34 CR "Costa Rica" 0.0
2002 32 CO Colombia 0.0
2002 33 PA Panama 324.8125
2002 34 CR "Costa Rica" 0.0
2003 32 CO Colombia 0.0
2003 33 PA Panama 222.4375
2003 34 CR "Costa Rica" 0.0
2004 32 CO Colombia 0.0
2004 33 PA Panama 159.1875
2004 34 CR "Costa Rica" 0.0
2005 32 CO Colombia 0.0
2005 33 PA Panama 337.75
2005 34 CR "Costa Rica" 0.0
2006 32 CO Colombia 0.0
2006 33 PA Panama 390.625
2006 34 CR "Costa Rica" 0.0
2007 32 CO Colombia 0.0
2007 33 PA Panama 206.625
2007 34 CR "Costa Rica" 0.0
2008 32 CO Colombia 0.0
2008 33 PA Panama 129.1875
2008 34 CR "Costa Rica" 0.0
2009 32 CO Colombia 0.0
2009 33 PA Panama 244.625
2009 34 CR "Costa Rica" 0.0
2010 32 CO Colombia 0.0
2010 33 PA Panama 298.9375
2010 34 CR "Costa Rica" 0.0
2011 32 CO Colombia 0.0
2011 33 PA Panama 284.4375
2011 34 CR "Costa Rica" 0.0
2012 32 CO Colombia 0.0
2012 33 PA Panama 257.8125
2012 34 CR "Costa Rica" 0.0
2013 32 CO Colombia 0.0
2013 33 PA Panama 139.3125
2013 34 CR "Costa Rica" 0.0
2014 32 CO Colombia 0.0
2014 33 PA Panama 180.6875
2014 34 CR "Costa Rica" 0.0
2015 32 CO Colombia 0.0
2015 33 PA Panama 191.4375
2015 34 CR "Costa Rica" 0.0
2016 32 CO Colombia 0.0
2016 33 PA Panama 129.875
2016 34 CR "Costa Rica" 0.0
2017 32 CO Colombia 0.0
2017 33 PA Panama 182.8125
2017 34 CR "Costa Rica" 0.0
2018 32 CO Colombia 0.0
2018 33 PA Panama 355.875
2018 34 CR "Costa Rica" 0.0
2019 32 CO Colombia 0.0
2019 33 PA Panama 91.25
2019 34 CR "Costa Rica" 0.0
2020 32 CO Colombia 0.0
2020 33 PA Panama 146.25
2020 34 CR "Costa Rica" 0.0
2021 32 CO Colombia 0.0
2021 33 PA Panama 293.0625
2021 34 CR "Costa Rica" 0.0
2022 32 CO Colombia 0.0
2022 33 PA Panama 305.25
2022 34 CR "Costa Rica" 0.0
2023 32 CO Colombia 0.0
2023 33 PA Panama 125.1875
2023 34 CR "Costa Rica" 0.0
